Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     ,dollarindex
20001031,274,277.3,262.05,264.9,0,14.149,21.204,116.66
20001130,265,271.64,263,270.45,0,18.238,20.215,115.15
20001229,269.6,276.15,268,272.05,0,22.657,21.029,109.32
20010131,272.5,273.5,259.95,265.85,0,20.915,20.991,110.28
20010228,265.6,270.65,253.55,267.25,0,25.289,22.424,112.02
20010330,267.25,275.35,256.95,257.95,0,20.939,21.929,117.49
20010430,257.6,267.15,254.7,263.8,0,27.177,23.678,115.91
20010531,263.6,298.5,263.45,265.65,0,27.091,24.816,119.04
20010629,265.9,279.05,264.7,270.6,0,30.704,26.778,119.47
20010731,270.55,271.75,264.4,266.1,0,29.776,27.778,117.18
20010831,266.6,281.15,265.8,274.3,0,35.238,30.264,113.42
20010928,274.45,296,270.45,293.5,0,53.118,37.882,113.48
20011031,291.87,294.12,274.25,279.55,0,54.692,43.486,114.86
20011130,279.65,281.35,271.85,274.35,0,51.416,46.129,115.46
20011231,275.05,281.75,271.65,278.95,0,52.732,48.33,116.82
20020131,278.7,289.5,275.75,282,0,52.796,49.819,120.24
20020228,282.15,307.8,279.95,296.35,0,59.737,53.125,119.16
20020329,296.05,304.5,286,302.2,0,68.857,58.369,118.62
20020430,302.6,311.9,295.75,309.3,0,77.358,64.699,115.19
20020531,307.95,329.25,305.3,326.05,0,83.091,70.829,111.81
20020628,326.3,330.3,308.65,312.25,0,78.469,73.376,106.11
20020731,314.2,326.39,299.75,303.79,0,70.579,72.444,107.41
20020830,303.29,318.5,298.45,313,0,70.554,71.814,106.98
20020930,312.5,328.6,310.89,324,0,76.519,73.382,106.81
20021031,323.5,324.85,308.5,318,0,76.203,74.323,106.5
20021129,317.5,325.5,316,318.39,0,75.174,74.606,106.41
20021231,318.79,355,315.7,348.29,0,79.674,76.296,101.85
20030131,347.79,373.7,340,368.39,0,84.097,78.896,99.91
20030228,367.89,389.5,341,350,0,74.937,77.577,99.71
20030331,350.1,358.7,325.11,337.7,0,64.328,73.16,99.06
20030430,337.2,340.5,318.75,338.79,0,57.654,67.991,97.19
20030530,338.29,375.26,337.5,364.7,0,61.563,65.849,93.27
20030630,364.1,370.29,342.6,345.45,0,56.248,62.648,94.73
20030731,345.54,368.79,340.29,355.29,0,55.38,60.226,96.89
20030829,355.79,378.6,344.79,375.79,0,64.061,61.504,98.1
20030930,375,394.5,369.1,385.6,0,72.124,65.044,92.85
20031031,385.5,392.79,366,384.5,0,77.016,69.035,92.73
20031128,384.6,401.6,375.29,398.29,0,83.345,73.805,90.23
20031231,397.5,418.6,396.29,415.6,0,87.895,78.502,86.92
20040130,415.39,431.1,395.79,401.6,0,81.425,79.476,87.2
20040227,402.6,418.2,390.29,396,0,74.732,77.895,87.31
20040331,395,427.79,387.6,426.7,0,81.54,79.11,87.61
20040430,426.7,431.6,377.2,386.7,0,70.452,76.224,90.54
20040531,386.79,397.29,370.5,395.6,0,62.009,71.486,88.95
20040630,395.5,405.6,381.1,393.79,0,55.46,66.144,88.8
20040730,393.6,409.6,385.1,391.1,0,48.212,60.167,89.96
20040831,393.29,414.79,388.6,410.1,0,53.745,58.026,88.89
20040930,409.79,419.6,394.29,418.29,0,61.902,59.318,87.38
20041029,418.29,431.2,409.1,428.6,0,72.965,63.867,84.91
20041130,429.1,455.79,416.79,450.79,0,80.022,69.252,81.82
20041231,451.1,457.29,431.5,438,0,79.273,72.592,80.87
20050131,438.29,438.79,416.5,422.1,0,72.667,72.617,83.6
20050228,422.2,437.7,409.79,435.29,0,72.153,72.462,82.51
20050331,434.79,447.3,423.2,428,0,67.911,70.945,84.06
20050429,427.9,437.7,422,435,0,67.79,69.893,84.43
20050531,434.75,434.75,413,416.5,0,56.945,65.577,87.76
20050630,416.25,443.6,414.15,435.25,0,56.051,62.402,89.09
20050729,434.85,436.3,417.9,429.8,0,51.41,58.738,89.35
20050831,429.5,449.3,428.75,433.9,0,51.192,56.223,87.53
20050930,434.75,475,434.5,468.8,0,64.292,58.913,89.44
20051031,468,480.25,459.5,464.8,0,68.886,62.237,90.09
20051130,465,502.3,455,494.1,0,76.196,66.89,91.59
