Time,Open,High,Low,Close,Volume,  KDJ.K     ,  KDJ.D     
 2007/08/31,4488.77,5235.16,4284.87,5218.83,25706728,95.02,93.27
 2007/09/28,5257.78,5560.42,5025.34,5552.3,20302320,96.59,94.38
 2007/10/31,5683.31,6124.04,5462.01,5954.77,14640799,96.15,94.97
 2007/11/30,5978.94,6005.13,4778.73,4871.78,11113601,85.16,91.7
 2007/12/28,4838.56,5336.5,4798.01,5261.56,13521871,80.29,87.9
 2008/01/31,5265,5522.78,4330.7,4383.39,18871768,65.53,80.44
 2008/02/29,4388.25,4695.8,4123.31,4348.54,9184871,55.26,72.05
 2008/03/31,4323.7,4472.15,3357.23,3472.71,13985475,38.23,60.77
 2008/04/30,3461.08,3705.09,2990.79,3693.11,16376687,32.96,51.5
 2008/05/30,3739.8,3786.02,3333.95,3433.35,15816568,26.68,43.23
 2008/06/30,3426.2,3483.61,2693.4,2736.1,11558874,18.2,34.89
 2008/07/31,2743.16,2952.04,2566.53,2775.72,16192970,14.16,27.98
 2008/08/29,2751.02,2830.76,2284.58,2397.37,10364708,10.6,22.19
 2008/09/26,2380.47,2380.47,1802.33,2293.78,12308563,11.47,18.61
 2008/10/31,2267.39,2267.39,1664.93,1728.79,11981192,8.35,15.19
 2008/11/28,1713.76,2050.88,1678.96,1871.16,20665356,8.02,12.8
 2008/12/31,1865.74,2100.81,1814.75,1820.81,25513944,7.79,11.13
 2009/01/23,1849.02,2018.51,1844.09,1990.66,14975977,10.31,10.86
 2009/02/27,2008.13,2402.81,1987.13,2082.85,35642424,14.54,12.08
 2009/03/31,2066.23,2392.77,2037.02,2373.21,31631644,28.03,17.4
 2009/04/30,2380.98,2579.22,2331.88,2477.57,34808828,41.92,25.58
 2009/05/27,2486.69,2688.11,2486.23,2632.93,26995994,59.49,36.88
 2009/06/30,2668.4,2997.27,2668.4,2959.36,32693356,72.04,48.6
 2009/07/31,2950.17,3454.02,2947.69,3412.06,45407008,80.57,59.26
 2009/08/31,3429.69,3478.01,2663,2667.75,33766156,70.81,63.11
 2009/09/30,2649.17,3068.03,2639.76,2779.43,29481612,66.29,64.17
 2009/10/30,2840.13,3123.46,2834.62,2995.85,20065906,66.75,65.03
 2009/11/30,2933.82,3361.39,2923.52,3195.3,37542536,71.29,67.12
 2009/12/31,3191.06,3334.01,3039.86,3277.14,30267260,75.02,69.75
 2010/01/29,3289.75,3306.75,2963.89,2989.29,26742808,66.92,68.81
 2010/02/26,2981.37,3067.52,2890.02,3051.94,13594930,61,66.21
 2010/03/31,3057.01,3132.58,2963.44,3109.1,23523456,59.33,63.91
 2010/04/30,3111.93,3181.66,2820.95,2870.61,25818668,48.73,58.85
